Log created: 2021-12-20 08:12:13
Type: staging
[2021-12-20 08:14:31][notice]The count of copied files: 500
[2021-12-20 08:14:31][notice]The next copying files starts from:18500
[2021-12-20 08:14:33][notice]The count of copied files: 500
[2021-12-20 08:14:33][notice]The next copying files starts from:19000
[2021-12-20 08:14:35][notice]The count of copied files: 500
[2021-12-20 08:14:35][notice]The next copying files starts from:19500
[2021-12-20 08:14:37][notice]The count of copied files: 500
[2021-12-20 08:14:37][notice]The next copying files starts from:20000
[2021-12-20 08:14:41][notice]The count of copied files: 500
[2021-12-20 08:14:41][notice]The next copying files starts from:20500
[2021-12-20 08:14:43][notice]The count of copied files: 500
[2021-12-20 08:14:43][notice]The next copying files starts from:21000
[2021-12-20 08:14:46][notice]The count of copied files: 500
[2021-12-20 08:14:46][notice]The next copying files starts from:21500
[2021-12-20 08:14:52][notice]The count of copied files: 500
[2021-12-20 08:14:52][notice]The next copying files starts from:22000
[2021-12-20 08:14:55][notice]The count of copied files: 500
[2021-12-20 08:14:55][notice]The next copying files starts from:22500
[2021-12-20 08:14:59][notice]The count of copied files: 500
[2021-12-20 08:14:59][notice]The next copying files starts from:23000
[2021-12-20 08:15:02][notice]The count of copied files: 500
[2021-12-20 08:15:02][notice]The next copying files starts from:23500
[2021-12-20 08:15:06][notice]The count of copied files: 500
[2021-12-20 08:15:06][notice]The next copying files starts from:24000
[2021-12-20 08:15:09][notice]The count of copied files: 500
[2021-12-20 08:15:09][notice]The next copying files starts from:24500
[2021-12-20 08:15:12][notice]The count of copied files: 500
[2021-12-20 08:15:12][notice]The next copying files starts from:25000
[2021-12-20 08:15:16][notice]The count of copied files: 500
[2021-12-20 08:15:16][notice]The next copying files starts from:25500
[2021-12-20 08:15:20][notice]The count of copied files: 500
[2021-12-20 08:15:20][notice]The next copying files starts from:26000
[2021-12-20 08:15:23][notice]The count of copied files: 500
[2021-12-20 08:15:23][notice]The next copying files starts from:26500
[2021-12-20 08:15:27][notice]The count of copied files: 500
[2021-12-20 08:15:27][notice]The next copying files starts from:27000
[2021-12-20 08:15:30][notice]The count of copied files: 500
[2021-12-20 08:15:30][notice]The next copying files starts from:27500
[2021-12-20 08:15:33][notice]The count of copied files: 500
[2021-12-20 08:15:33][notice]The next copying files starts from:28000
[2021-12-20 08:15:36][notice]The count of copied files: 500
[2021-12-20 08:15:36][notice]The next copying files starts from:28500
[2021-12-20 08:15:39][notice]The count of copied files: 500
[2021-12-20 08:15:39][notice]The next copying files starts from:29000
[2021-12-20 08:15:43][notice]The count of copied files: 500
[2021-12-20 08:15:43][notice]The next copying files starts from:29500
[2021-12-20 08:15:48][notice]The count of copied files: 500
[2021-12-20 08:15:48][notice]The next copying files starts from:30000
[2021-12-20 08:15:51][notice]The count of copied files: 500
[2021-12-20 08:15:51][notice]The next copying files starts from:30500
[2021-12-20 08:15:54][notice]The count of copied files: 500
[2021-12-20 08:15:54][notice]The next copying files starts from:31000
[2021-12-20 08:15:55][notice]Copying plugins files is completed.
[2021-12-20 08:15:58][notice]Start processing theme.
[2021-12-20 08:15:58][notice]Prepare to copy theme files.
[2021-12-20 08:15:58][notice]Retrieve the files required to copy.
[2021-12-20 08:15:58][notice]Create a cache file.
[2021-12-20 08:15:58][notice]Copying files starts from: 0
[2021-12-20 08:15:58][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/themes to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/themes
[2021-12-20 08:16:00][notice]The count of copied files: 500
[2021-12-20 08:16:00][notice]The next copying files starts from:500
[2021-12-20 08:16:03][notice]The count of copied files: 500
[2021-12-20 08:16:03][notice]The next copying files starts from:1000
