Log created: 2021-12-26 10:57:23
Type: staging
[2021-12-26 10:58:05][notice]The count of copied files: 500
[2021-12-26 10:58:05][notice]The next copying files starts from:18500
[2021-12-26 10:58:05][notice]The count of copied files: 500
[2021-12-26 10:58:05][notice]The next copying files starts from:19000
[2021-12-26 10:58:06][notice]The count of copied files: 500
[2021-12-26 10:58:06][notice]The next copying files starts from:19500
[2021-12-26 10:58:07][notice]The count of copied files: 500
[2021-12-26 10:58:07][notice]The next copying files starts from:20000
[2021-12-26 10:58:08][notice]The count of copied files: 500
[2021-12-26 10:58:08][notice]The next copying files starts from:20500
[2021-12-26 10:58:08][notice]The count of copied files: 500
[2021-12-26 10:58:08][notice]The next copying files starts from:21000
[2021-12-26 10:58:09][notice]The count of copied files: 500
[2021-12-26 10:58:09][notice]The next copying files starts from:21500
[2021-12-26 10:58:09][notice]The count of copied files: 500
[2021-12-26 10:58:09][notice]The next copying files starts from:22000
[2021-12-26 10:58:09][notice]The count of copied files: 500
[2021-12-26 10:58:09][notice]The next copying files starts from:22500
[2021-12-26 10:58:10][notice]The count of copied files: 500
[2021-12-26 10:58:10][notice]The next copying files starts from:23000
[2021-12-26 10:58:11][notice]The count of copied files: 500
[2021-12-26 10:58:11][notice]The next copying files starts from:23500
[2021-12-26 10:58:12][notice]The count of copied files: 500
[2021-12-26 10:58:12][notice]The next copying files starts from:24000
[2021-12-26 10:58:13][notice]The count of copied files: 500
[2021-12-26 10:58:13][notice]The next copying files starts from:24500
[2021-12-26 10:58:15][notice]The count of copied files: 500
[2021-12-26 10:58:15][notice]The next copying files starts from:25000
[2021-12-26 10:58:15][notice]The count of copied files: 500
[2021-12-26 10:58:15][notice]The next copying files starts from:25500
[2021-12-26 10:58:16][notice]The count of copied files: 500
[2021-12-26 10:58:16][notice]The next copying files starts from:26000
[2021-12-26 10:58:17][notice]The count of copied files: 500
[2021-12-26 10:58:17][notice]The next copying files starts from:26500
[2021-12-26 10:58:17][notice]The count of copied files: 500
[2021-12-26 10:58:17][notice]The next copying files starts from:27000
[2021-12-26 10:58:18][notice]The count of copied files: 500
[2021-12-26 10:58:18][notice]The next copying files starts from:27500
[2021-12-26 10:58:18][notice]The count of copied files: 500
[2021-12-26 10:58:18][notice]The next copying files starts from:28000
[2021-12-26 10:58:19][notice]The count of copied files: 500
[2021-12-26 10:58:19][notice]The next copying files starts from:28500
[2021-12-26 10:58:19][notice]The count of copied files: 500
[2021-12-26 10:58:19][notice]The next copying files starts from:29000
[2021-12-26 10:58:20][notice]The count of copied files: 500
[2021-12-26 10:58:20][notice]The next copying files starts from:29500
[2021-12-26 10:58:22][notice]The count of copied files: 500
[2021-12-26 10:58:22][notice]The next copying files starts from:30000
[2021-12-26 10:58:22][notice]The count of copied files: 500
[2021-12-26 10:58:22][notice]The next copying files starts from:30500
[2021-12-26 10:58:23][notice]The count of copied files: 500
[2021-12-26 10:58:23][notice]The next copying files starts from:31000
[2021-12-26 10:58:23][notice]Copying plugins files is completed.
[2021-12-26 10:58:33][notice]Start processing theme.
[2021-12-26 10:58:33][notice]Prepare to copy theme files.
[2021-12-26 10:58:33][notice]Retrieve the files required to copy.
[2021-12-26 10:58:33][notice]Create a cache file.
[2021-12-26 10:58:33][notice]Copying files starts from: 0
[2021-12-26 10:58:33][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/themes to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/themes
[2021-12-26 10:58:33][notice]The count of copied files: 500
[2021-12-26 10:58:33][notice]The next copying files starts from:500
[2021-12-26 10:58:34][notice]The count of copied files: 500
[2021-12-26 10:58:34][notice]The next copying files starts from:1000
[2021-12-26 10:58:35][notice]Copying theme files is completed.
[2021-12-26 10:58:38][notice]Start processing upload.
[2021-12-26 10:58:38][notice]Prepare to copy upload files.
[2021-12-26 10:58:38][notice]Retrieve the files required to copy.
[2021-12-26 10:58:38][notice]Create a cache file.
[2021-12-26 10:58:38][notice]Copying files starts from: 0
[2021-12-26 10:58:38][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/uploads to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/uploads
[2021-12-26 10:58:46][notice]The count of copied files: 500
[2021-12-26 10:58:46][notice]The next copying files starts from:500
[2021-12-26 10:58:57][notice]The count of copied files: 500
[2021-12-26 10:58:57][notice]The next copying files starts from:1000
[2021-12-26 10:59:08][notice]The count of copied files: 500
[2021-12-26 10:59:08][notice]The next copying files starts from:1500
[2021-12-26 10:59:17][notice]The count of copied files: 500
[2021-12-26 10:59:17][notice]The next copying files starts from:2000
[2021-12-26 10:59:25][notice]The count of copied files: 500
[2021-12-26 10:59:25][notice]The next copying files starts from:2500
[2021-12-26 10:59:33][notice]The count of copied files: 500
[2021-12-26 10:59:33][notice]The next copying files starts from:3000
[2021-12-26 10:59:44][notice]The count of copied files: 500
[2021-12-26 10:59:44][notice]The next copying files starts from:3500
[2021-12-26 10:59:56][notice]The count of copied files: 500
[2021-12-26 10:59:56][notice]The next copying files starts from:4000
[2021-12-26 11:00:05][notice]The count of copied files: 500
[2021-12-26 11:00:05][notice]The next copying files starts from:4500
[2021-12-26 11:00:16][notice]The count of copied files: 500
[2021-12-26 11:00:16][notice]The next copying files starts from:5000
[2021-12-26 11:00:24][notice]The count of copied files: 500
[2021-12-26 11:00:24][notice]The next copying files starts from:5500
[2021-12-26 11:00:33][notice]The count of copied files: 500
[2021-12-26 11:00:33][notice]The next copying files starts from:6000
[2021-12-26 11:00:43][notice]The count of copied files: 500
[2021-12-26 11:00:43][notice]The next copying files starts from:6500
[2021-12-26 11:00:45][notice]Copying upload files is completed.
[2021-12-26 11:00:48][notice]Start processing db.
[2021-12-26 11:00:48][notice]Prepare to copy database.
[2021-12-26 11:00:48][notice]Retrieve the tables required to copy.
[2021-12-26 11:00:48][notice]Copying wp_actionscheduler_actions is completed.
[2021-12-26 11:00:52][notice]Start processing db.
[2021-12-26 11:00:52][notice]Prepare to copy database.
[2021-12-26 11:00:52][notice]Copying wp_actionscheduler_claims is completed.
[2021-12-26 11:00:56][notice]Start processing db.
[2021-12-26 11:00:56][notice]Prepare to copy database.
[2021-12-26 11:00:56][notice]Copying wp_actionscheduler_groups is completed.
[2021-12-26 11:01:00][notice]Start processing db.
[2021-12-26 11:01:00][notice]Prepare to copy database.
[2021-12-26 11:01:00][notice]Copying wp_actionscheduler_logs is completed.
[2021-12-26 11:01:04][notice]Start processing db.
[2021-12-26 11:01:04][notice]Prepare to copy database.
[2021-12-26 11:01:04][notice]Copying wp_aioseo_notifications is completed.
[2021-12-26 11:01:08][notice]Start processing db.
[2021-12-26 11:01:08][notice]Prepare to copy database.
[2021-12-26 11:01:08][notice]Copying wp_aioseo_posts is completed.
[2021-12-26 11:01:12][notice]Start processing db.
[2021-12-26 11:01:12][notice]Prepare to copy database.
[2021-12-26 11:01:13][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:13][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":10000,"finished":0}
[2021-12-26 11:01:13][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:13][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":20000,"finished":0}
[2021-12-26 11:01:13][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:13][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":30000,"finished":0}
[2021-12-26 11:01:13][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:13][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":40000,"finished":0}
[2021-12-26 11:01:13][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:13][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":50000,"finished":0}
[2021-12-26 11:01:14][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:14][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":60000,"finished":0}
[2021-12-26 11:01:14][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:14][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":70000,"finished":0}
[2021-12-26 11:01:14][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:14][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":80000,"finished":0}
[2021-12-26 11:01:14][notice]Copying 10000 queries is completed.
[2021-12-26 11:01:14][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":90000,"finished":0}
[2021-12-26 11:01:14][notice]Copying wp_avc_page_visit_history is completed.
[2021-12-26 11:01:19][notice]Start processing db.
[2021-12-26 11:01:19][notice]Prepare to copy database.
[2021-12-26 11:01:19][notice]Copying wp_chaty_contact_form_leads is completed.
[2021-12-26 11:01:22][notice]Start processing db.
[2021-12-26 11:01:22][notice]Prepare to copy database.
[2021-12-26 11:01:22][notice]Copying wp_commentmeta is completed.
[2021-12-26 11:01:27][notice]Start processing db.
[2021-12-26 11:01:27][notice]Prepare to copy database.
[2021-12-26 11:01:27][notice]Copying wp_comments is completed.
[2021-12-26 11:01:30][notice]Start processing db.
[2021-12-26 11:01:30][notice]Prepare to copy database.
[2021-12-26 11:01:30][notice]Copying wp_dokan_announcement is completed.
[2021-12-26 11:01:34][notice]Start processing db.
[2021-12-26 11:01:34][notice]Prepare to copy database.
[2021-12-26 11:01:34][notice]Copying wp_dokan_delivery_time is completed.
[2021-12-26 11:01:38][notice]Start processing db.
[2021-12-26 11:01:38][notice]Prepare to copy database.
[2021-12-26 11:01:38][notice]Copying wp_dokan_distance_rate_shipping is completed.
[2021-12-26 11:01:42][notice]Start processing db.
[2021-12-26 11:01:42][notice]Prepare to copy database.
[2021-12-26 11:01:42][notice]Copying wp_dokan_follow_store_followers is completed.
[2021-12-26 11:01:46][notice]Start processing db.
[2021-12-26 11:01:46][notice]Prepare to copy database.
[2021-12-26 11:01:46][notice]Copying wp_dokan_orders is completed.
[2021-12-26 11:01:50][notice]Start processing db.
[2021-12-26 11:01:50][notice]Prepare to copy database.
[2021-12-26 11:01:50][notice]Copying wp_dokan_product_map is completed.
[2021-12-26 11:01:54][notice]Start processing db.
[2021-12-26 11:01:54][notice]Prepare to copy database.
[2021-12-26 11:01:54][notice]Copying wp_dokan_refund is completed.
[2021-12-26 11:01:59][notice]Start processing db.
[2021-12-26 11:01:59][notice]Prepare to copy database.
[2021-12-26 11:01:59][notice]Copying wp_dokan_report_abuse_reports is completed.
[2021-12-26 11:02:03][notice]Start processing db.
[2021-12-26 11:02:03][notice]Prepare to copy database.
[2021-12-26 11:02:03][notice]Copying wp_dokan_rma_conversations is completed.
[2021-12-26 11:02:07][notice]Start processing db.
[2021-12-26 11:02:07][notice]Prepare to copy database.
[2021-12-26 11:02:07][notice]Copying wp_dokan_rma_request is completed.
[2021-12-26 11:02:11][notice]Start processing db.
[2021-12-26 11:02:11][notice]Prepare to copy database.
[2021-12-26 11:02:12][notice]Copying wp_dokan_rma_request_product is completed.
[2021-12-26 11:02:15][notice]Start processing db.
[2021-12-26 11:02:15][notice]Prepare to copy database.
[2021-12-26 11:02:15][notice]Copying wp_dokan_shipping_tracking is completed.
[2021-12-26 11:02:19][notice]Start processing db.
[2021-12-26 11:02:19][notice]Prepare to copy database.
[2021-12-26 11:02:19][notice]Copying wp_dokan_shipping_zone_locations is completed.
[2021-12-26 11:02:23][notice]Start processing db.
[2021-12-26 11:02:23][notice]Prepare to copy database.
[2021-12-26 11:02:23][notice]Copying wp_dokan_shipping_zone_methods is completed.
[2021-12-26 11:02:28][notice]Start processing db.
[2021-12-26 11:02:28][notice]Prepare to copy database.
[2021-12-26 11:02:28][notice]Copying wp_dokan_table_rate_shipping is completed.
[2021-12-26 11:02:32][notice]Start processing db.
[2021-12-26 11:02:32][notice]Prepare to copy database.
[2021-12-26 11:02:32][notice]Copying wp_dokan_vendor_balance is completed.
[2021-12-26 11:02:36][notice]Start processing db.
[2021-12-26 11:02:36][notice]Prepare to copy database.
[2021-12-26 11:02:36][notice]Copying wp_dokan_withdraw is completed.
[2021-12-26 11:02:40][notice]Start processing db.
[2021-12-26 11:02:40][notice]Prepare to copy database.
[2021-12-26 11:02:40][notice]Copying wp_duplicator_packages is completed.
[2021-12-26 11:02:44][notice]Start processing db.
[2021-12-26 11:02:44][notice]Prepare to copy database.
[2021-12-26 11:02:44][notice]Copying wp_gla_budget_recommendations is completed.
[2021-12-26 11:02:48][notice]Start processing db.
[2021-12-26 11:02:48][notice]Prepare to copy database.
[2021-12-26 11:02:48][notice]Copying wp_gla_merchant_issues is completed.
[2021-12-26 11:02:52][notice]Start processing db.
[2021-12-26 11:02:52][notice]Prepare to copy database.
[2021-12-26 11:02:52][notice]Copying wp_gla_shipping_rates is completed.
[2021-12-26 11:02:56][notice]Start processing db.
[2021-12-26 11:02:56][notice]Prepare to copy database.
[2021-12-26 11:02:56][notice]Copying wp_gla_shipping_times is completed.
[2021-12-26 11:03:00][notice]Start processing db.
[2021-12-26 11:03:00][notice]Prepare to copy database.
[2021-12-26 11:03:00][notice]Copying wp_links is completed.
[2021-12-26 11:03:04][notice]Start processing db.
[2021-12-26 11:03:04][notice]Prepare to copy database.
[2021-12-26 11:03:04][notice]Copying wp_mailchimp_carts is completed.
[2021-12-26 11:03:08][notice]Start processing db.
[2021-12-26 11:03:08][notice]Prepare to copy database.
