Log created: 2022-01-14 12:12:23
Type: staging
[2022-01-14 12:14:44][notice]The count of copied files: 500
[2022-01-14 12:14:44][notice]The next copying files starts from:18500
[2022-01-14 12:14:48][notice]The count of copied files: 500
[2022-01-14 12:14:48][notice]The next copying files starts from:19000
[2022-01-14 12:14:51][notice]The count of copied files: 500
[2022-01-14 12:14:51][notice]The next copying files starts from:19500
[2022-01-14 12:14:54][notice]The count of copied files: 500
[2022-01-14 12:14:54][notice]The next copying files starts from:20000
[2022-01-14 12:14:58][notice]The count of copied files: 500
[2022-01-14 12:14:58][notice]The next copying files starts from:20500
[2022-01-14 12:15:01][notice]The count of copied files: 500
[2022-01-14 12:15:01][notice]The next copying files starts from:21000
[2022-01-14 12:15:04][notice]The count of copied files: 500
[2022-01-14 12:15:04][notice]The next copying files starts from:21500
[2022-01-14 12:15:07][notice]The count of copied files: 500
[2022-01-14 12:15:07][notice]The next copying files starts from:22000
[2022-01-14 12:15:10][notice]The count of copied files: 500
[2022-01-14 12:15:10][notice]The next copying files starts from:22500
[2022-01-14 12:15:13][notice]The count of copied files: 500
[2022-01-14 12:15:13][notice]The next copying files starts from:23000
[2022-01-14 12:15:16][notice]The count of copied files: 500
[2022-01-14 12:15:16][notice]The next copying files starts from:23500
[2022-01-14 12:15:20][notice]The count of copied files: 500
[2022-01-14 12:15:20][notice]The next copying files starts from:24000
[2022-01-14 12:15:23][notice]The count of copied files: 500
[2022-01-14 12:15:23][notice]The next copying files starts from:24500
[2022-01-14 12:15:26][notice]The count of copied files: 500
[2022-01-14 12:15:26][notice]The next copying files starts from:25000
[2022-01-14 12:15:30][notice]The count of copied files: 500
[2022-01-14 12:15:30][notice]The next copying files starts from:25500
[2022-01-14 12:15:33][notice]The count of copied files: 500
[2022-01-14 12:15:33][notice]The next copying files starts from:26000
[2022-01-14 12:15:36][notice]The count of copied files: 500
[2022-01-14 12:15:36][notice]The next copying files starts from:26500
[2022-01-14 12:15:40][notice]The count of copied files: 500
[2022-01-14 12:15:40][notice]The next copying files starts from:27000
[2022-01-14 12:15:43][notice]The count of copied files: 500
[2022-01-14 12:15:43][notice]The next copying files starts from:27500
[2022-01-14 12:15:46][notice]The count of copied files: 500
[2022-01-14 12:15:46][notice]The next copying files starts from:28000
[2022-01-14 12:15:50][notice]The count of copied files: 500
[2022-01-14 12:15:50][notice]The next copying files starts from:28500
[2022-01-14 12:15:52][notice]The count of copied files: 500
[2022-01-14 12:15:52][notice]The next copying files starts from:29000
[2022-01-14 12:15:56][notice]The count of copied files: 500
[2022-01-14 12:15:56][notice]The next copying files starts from:29500
[2022-01-14 12:16:01][notice]The count of copied files: 500
[2022-01-14 12:16:01][notice]The next copying files starts from:30000
[2022-01-14 12:16:03][notice]The count of copied files: 500
[2022-01-14 12:16:03][notice]The next copying files starts from:30500
[2022-01-14 12:16:07][notice]The count of copied files: 500
[2022-01-14 12:16:07][notice]The next copying files starts from:31000
[2022-01-14 12:16:10][notice]The count of copied files: 500
[2022-01-14 12:16:10][notice]The next copying files starts from:31500
[2022-01-14 12:16:12][notice]Copying plugins files is completed.
[2022-01-14 12:16:16][notice]Start processing theme.
[2022-01-14 12:16:16][notice]Prepare to copy theme files.
[2022-01-14 12:16:16][notice]Retrieve the files required to copy.
[2022-01-14 12:16:16][notice]Create a cache file.
[2022-01-14 12:16:16][notice]Copying files starts from: 0
[2022-01-14 12:16:16][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/themes to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/themes
[2022-01-14 12:16:17][notice]The count of copied files: 500
[2022-01-14 12:16:17][notice]The next copying files starts from:500
[2022-01-14 12:16:20][notice]The count of copied files: 500
[2022-01-14 12:16:20][notice]The next copying files starts from:1000
[2022-01-14 12:16:23][notice]The count of copied files: 500
[2022-01-14 12:16:23][notice]The next copying files starts from:1500
[2022-01-14 12:16:23][notice]Copying theme files is completed.
[2022-01-14 12:16:27][notice]Start processing upload.
[2022-01-14 12:16:27][notice]Prepare to copy upload files.
[2022-01-14 12:16:27][notice]Retrieve the files required to copy.
[2022-01-14 12:16:27][notice]Create a cache file.
[2022-01-14 12:16:27][notice]Copying files starts from: 0
[2022-01-14 12:16:27][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/uploads to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/uploads
[2022-01-14 12:16:39][notice]The count of copied files: 500
[2022-01-14 12:16:39][notice]The next copying files starts from:500
[2022-01-14 12:17:03][notice]The count of copied files: 500
[2022-01-14 12:17:03][notice]The next copying files starts from:1000
[2022-01-14 12:17:24][notice]The count of copied files: 500
[2022-01-14 12:17:24][notice]The next copying files starts from:1500
[2022-01-14 12:17:41][notice]The count of copied files: 500
[2022-01-14 12:17:41][notice]The next copying files starts from:2000
[2022-01-14 12:18:00][notice]The count of copied files: 500
[2022-01-14 12:18:00][notice]The next copying files starts from:2500
[2022-01-14 12:18:17][notice]The count of copied files: 500
[2022-01-14 12:18:17][notice]The next copying files starts from:3000
[2022-01-14 12:18:37][notice]The count of copied files: 500
[2022-01-14 12:18:37][notice]The next copying files starts from:3500
[2022-01-14 12:18:58][notice]The count of copied files: 500
[2022-01-14 12:18:58][notice]The next copying files starts from:4000
[2022-01-14 12:19:20][notice]The count of copied files: 500
[2022-01-14 12:19:20][notice]The next copying files starts from:4500
[2022-01-14 12:19:40][notice]The count of copied files: 500
[2022-01-14 12:19:40][notice]The next copying files starts from:5000
[2022-01-14 12:20:00][notice]The count of copied files: 500
[2022-01-14 12:20:00][notice]The next copying files starts from:5500
[2022-01-14 12:20:15][notice]The count of copied files: 500
[2022-01-14 12:20:15][notice]The next copying files starts from:6000
[2022-01-14 12:20:33][notice]The count of copied files: 500
[2022-01-14 12:20:33][notice]The next copying files starts from:6500
[2022-01-14 12:20:51][notice]The count of copied files: 500
[2022-01-14 12:20:51][notice]The next copying files starts from:7000
[2022-01-14 12:21:03][notice]The count of copied files: 500
[2022-01-14 12:21:03][notice]The next copying files starts from:7500
[2022-01-14 12:21:04][notice]Copying upload files is completed.
[2022-01-14 12:21:09][notice]Start processing db.
[2022-01-14 12:21:09][notice]Prepare to copy database.
[2022-01-14 12:21:09][notice]Retrieve the tables required to copy.
[2022-01-14 12:21:09][notice]Copying wp_actionscheduler_actions is completed.
[2022-01-14 12:21:13][notice]Start processing db.
[2022-01-14 12:21:13][notice]Prepare to copy database.
[2022-01-14 12:21:13][notice]Copying wp_actionscheduler_claims is completed.
[2022-01-14 12:21:17][notice]Start processing db.
[2022-01-14 12:21:17][notice]Prepare to copy database.
[2022-01-14 12:21:17][notice]Copying wp_actionscheduler_groups is completed.
[2022-01-14 12:21:21][notice]Start processing db.
[2022-01-14 12:21:21][notice]Prepare to copy database.
[2022-01-14 12:21:21][notice]Copying wp_actionscheduler_logs is completed.
[2022-01-14 12:21:25][notice]Start processing db.
[2022-01-14 12:21:25][notice]Prepare to copy database.
[2022-01-14 12:21:25][notice]Copying wp_aioseo_notifications is completed.
[2022-01-14 12:21:29][notice]Start processing db.
[2022-01-14 12:21:29][notice]Prepare to copy database.
[2022-01-14 12:21:29][notice]Copying wp_aioseo_posts is completed.
[2022-01-14 12:21:33][notice]Start processing db.
[2022-01-14 12:21:33][notice]Prepare to copy database.
[2022-01-14 12:21:33][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:33][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":10000,"finished":0}
[2022-01-14 12:21:34][notice]Copying 10000 queries is completed.
[2022-01-14 12:21:34][notice]The next copying table info: {"name":"wp_avc_page_visit_history","create":1,"start":20000,"finished":0}
[2022-01-14 12:21:34][notice]Copying 10000 queries is completed.
